call_id,speaker,papel,secao_1a_fala,n_falas,primeira_fala
AAPL_2006Q1,A - Peter Oppenheimer,management,qa,25,"Let me answer your first question. Yes, the 14th week this year, did span between Christmas day and New Year’s day and t"
AAPL_2006Q1,A - Timothy Cook,management,qa,30,"On iPod channel inventory, as it has been widely reported in number places, our channel inventories were lower than we w"
AAPL_2006Q1,Analysts,management,remarks,1,"Keith Bachman Banc of America Securities. Benjamin Reitzes, UBS. Robert Semple, Credit Suisse First Boston Gene Munster,"
AAPL_2006Q1,"Apple Computer, Inc. (NASDAQ",management,remarks,1,"AAPL): Q1 2006 Financial Results Conference Call January 18th 2006, 5:00 PM."
AAPL_2006Q1,Executives,management,remarks,1,"Nancy Paxton, Senior Director, Investor Relations and Corporate Finance Peter Oppenheimer, Chief Financial Officer Timot"
AAPL_2006Q1,"Nancy Paxton, Senior Director, Investor Relations and Corporate Finance",management,remarks,18,Good afternoon. Thanks for everyone for joining us. Speaking today is Apple’s CFO Peter Oppenheimer and he will be joine
AAPL_2006Q1,Operator,operator,remarks,19,Good day and welcome to the Apple Computer's First Quarter Financial Results Conference Call. Today’s call is being reco
AAPL_2006Q1,"Peter Oppenheimer, CFO",management,remarks,1,Thank for joining us. We are extremely proud to report a tremendous first quarter for Apple. Revenue of $5.75 billion in
AAPL_2006Q1,Q - Benjamin Reitzes,analyst,qa,11,"A couple of things, Peter do you – are you able to quantify the impact of the extra week, I believe last year you did no"
AAPL_2006Q1,Q - Bill Shope,analyst,qa,3,"First of all, on your website you are still offering the iMac G5, obviously the PowerMac G4. They are at the same price "
AAPL_2006Q1,Q - Charles Wolf,analyst,qa,3,Yes. I have few questions. What was expressed on Apple Store Mac sales between Windows and Mac users?
AAPL_2006Q1,Q - Gene Munster,analyst,qa,6,"Just in terms of the big picture here, conceptually where you are going with the market share plan here, do you see your"
AAPL_2006Q1,Q - Joel Wagonfeld,analyst,qa,3,"Two part question, if i could. 1) is there any chance the new iMac and the PowerBook have better gross margins given the"
AAPL_2006Q1,Q - Piper Jaffray,analyst,qa,1,Mine has been answered as well. Thank you.
AAPL_2006Q1,Q - Rebecca Runkle,analyst,qa,1,Mine has been answered. Thanks a lot.
AAPL_2006Q1,Q - Richard Gardner,analyst,qa,4,"Tim, i was hoping if you could just give us standard pitch on component pricing and availability during the first and se"
AAPL_2006Q1,Q - Robert Semple,analyst,qa,2,"Just kindly of looking at the Opex guidance, it is now basically inline with your sales guidance, i know you don’t give "
AAPL_2006Q1,Q - Steve Lidberg,analyst,qa,1,I was hoping first with regards to iPod if you kind of outline how you see the opportunity for the iPod in terms of unit
AAPL_2006Q1,Q - Steven Fortuna,analyst,qa,2,"In terms of the seasonality of the iPod, it seems which you are baking into your guidance, in terms of my model, at leas"
AAPL_2006Q1,Q -Keith Bachman,analyst,qa,5,"Two questions if i could. Tim i just wanted to clarify, i think what you said was you started the quarter with some low "
AAPL_2006Q1,Q – David Bailey,analyst,qa,2,"You mentioned that iPod margins were about above 20% in the quarter, is that from lower component cost, or a better mix "
AAPL_2006Q1,Q – Rebecca Runkle,analyst,qa,2,"Obviously phenomenal quarter, just wanted to dig down a little bit more on the CPU side of the equation, you have report"
AAPL_2006Q1,Q – Richard Chu,analyst,qa,6,"I just wanted to repeat this but, three questions, seasonality on the guidance, you are assuming this similar, i have se"
AAPL_2006Q1,Q – Shannon Cross,analyst,qa,3,Can you give us an idea in terms of availability of components from Intel and specifically is that leading to any delays
AAPL_2006Q1,Q – Shaw Wu,analyst,qa,1,"Yes. Two questions. Europe looked like there was very very strong, just wanted if you could give more color in terms of "
AAPL_2006Q2,Analysts,management,remarks,1,Richard Chu - SG Cowen & Co.   Benjamin Reitzes - UBS   Gene Munster - Piper Jaffray   Richard Gardiner - Citigroup   Bi
AAPL_2006Q2,Ben Reitzes - UBS,management,remarks,4,"Yeah, good afternoon, thanks. Could you just characterize what’s going on with iPod demand? Obviously 8.5 is a big drop-"
AAPL_2006Q2,Bill Fearnley - FTN Midwest Securities,analyst,qa,5,"Yes, thanks, guys. I'd like to take another crack at the iBook question. With the current product with the G4 processor,"
AAPL_2006Q2,Bill Hand - Bear Stearns,analyst,qa,3,"Thank you. It's Bill Hand for Andy. Just a couple questions. On the iPod front, I know you can't talk about new products"
AAPL_2006Q2,Bill Shope - JP Morgan,analyst,qa,4,"Great, thank you. Could you give us your outlook for the component prices in the June quarter, and are any components cu"
AAPL_2006Q2,Charles Wolf - Needham & Company,analyst,qa,3,"Yes, I want to stay with boot camp. Will Apple add Windows virtualization to the final release in Leopard, or will you l"
AAPL_2006Q2,Chris Whitmore - Deutche Bank,analyst,qa,4,I was hoping to get some color on the split between iBook and MacBook Pro’s during the quarter in terms of units sold. A
AAPL_2006Q2,David Bailey - Goldman Sachs,analyst,qa,1,"Yes, thank you. Just a quick clarification, did you say that you increased iPod channel inventory by 550,000 units in th"
AAPL_2006Q2,Executives,management,remarks,1,"Peter Oppenheimer - CFO   Tim Cook - COO   Gary Whistler - Treasurer   Nancy Paxton - Senior Director, Investor Relation"
AAPL_2006Q2,Gene Munster - Piper Jaffray,management,remarks,9,"Yeah, good afternoon, everybody. Just I guess in terms of the iPod market share, could you give us just some color, what"
AAPL_2006Q2,Harry Blount - Lehman Brothers,analyst,qa,6,"Thank you. A couple questions. First of all, on the PC unit side of the equation, it looks like you had good growth year"
AAPL_2006Q2,Joel Wagonfeld - First Albany Capital,analyst,qa,3,Thank you. I wanted to go into a little bit more detail on your expectations for gross margin next quarter. You mentione
AAPL_2006Q2,Keith Bachman - Banc of America Securities,analyst,qa,4,"Yeah, hi, guys. Thanks very much. Peter, Tim, I wanted to go back for a second to the desktop number, if I could. The de"
AAPL_2006Q2,Kevin Hunt - Thomas Weisel Partners.,analyst,qa,4,"Thanks. I have a couple of things. On a technical detail, can you give us the breakout of the $37 million stock option b"
AAPL_2006Q2,Nancy Paxton,management,remarks,21,"Thank you. Good afternoon, and thanks to everyone for joining us today. Speaking today is Apple CFO Peter Oppenheimer, a"
AAPL_2006Q2,Operator,operator,remarks,20,Good day and welcome to this Apple Computer Second Quarter Financial Results conference call. Today's call is being reco
AAPL_2006Q2,Peter Oppenheimer,management,remarks,37,Thank you Nancy. Thank you for joining us. We are very pleased to report March quarter results that exceeded our guidanc
AAPL_2006Q2,Rebecca Runkle - Morgan Stanley,analyst,qa,6,"Hi, just a couple of quick questions. First, Peter, on iTunes in particular, I believe you've seen seasonality in the se"
AAPL_2006Q2,Richard Chu - SG Cowen & Co.,management,remarks,4,"Hi, can you hear me?"
AAPL_2006Q2,Richard Farmer - Merrill Lynch,analyst,qa,5,"Thank you. Three questions, please. Peter, I’ll take another crack at the iPod hardware gross margin. You've said that i"
AAPL_2006Q2,Richard Gardiner - Citigroup,analyst,qa,5,"Okay, thank you. Tim, one for you. I was hoping maybe you could comment on the supply/demand balance for the new Intel-b"
